iso3,name,allocation_class,wpp_population_2100,population_2226,earth_share_2226,superseded_v4_diagnostic_central_population_2226
BIH,Bosnia and Herzegovina,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1373609.0,681291.653275729,8.195951464002227e-05,801730.8297893227
BLM,Saint Barthélemy,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,9299.0,4612.179363859005,5.548460490849777e-07,5415.953788508088
BLR,Belarus,RECOVERED_V2_1_NAMED_80_RENORMALIZED,4376126.0,5074995.053686738,0.0006105228640344723,2506315.2656669114
BLZ,Belize,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,448968.0,222682.11040252176,2.678869996403745e-05,318166.98570887366
BMU,Bermuda,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,35827.0,17769.71180438505,2.137699688199537e-06,22859.801674426868
BOL,Bolivia (Plurinational State of),WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,17771644.0,8814497.227513572,0.0010603856822394612,17094794.01945944
BRA,Brazil,RECOVERED_V2_1_NAMED_80_RENORMALIZED,163966039.0,166344904.71205854,0.020011323472831934,112977354.0459384
BRB,Barbados,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,195388.0,96909.82918009284,1.1658270764449469e-05,136334.18004260346
BRN,Brunei Darussalam,RECOVERED_V2_1_NAMED_80_RENORMALIZED,465546.0,463843.6979790556,5.5800484524372495e-05,396581.33114319365
BTN,Bhutan,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,692983.0,343710.2798263367,4.134841161770675e-05,485394.35244172387
BWA,Botswana,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,3839891.0,1904534.4692620623,0.00022911585657242324,3626347.251388426
CAF,Central African Republic,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,18742529.0,9296043.17457027,0.0011183157506732568,24486855.61103984
CAN,Canada,RECOVERED_V2_1_NAMED_80_RENORMALIZED,53524621.0,47256973.49393928,0.005685022841975336,62584698.45101503
CHE,Switzerland,RECOVERED_V2_1_NAMED_80_RENORMALIZED,9124053.0,9377508.889387714,0.0011281160915612405,9347339.228692755
CHL,Chile,RECOVERED_V2_1_NAMED_80_RENORMALIZED,13507688.0,14281280.937958717,0.001718040795722452,7537441.835883237
CHN,China,RECOVERED_V2_1_NAMED_80_RENORMALIZED,638684810.0,931532226.0230095,0.11206350283215083,281204189.2832241
CIV,Côte d'Ivoire,RECOVERED_V2_1_NAMED_80_RENORMALIZED,103650711.0,81109816.06013381,0.009757526200221358,159228082.25054577
CMR,Cameroon,RECOVERED_V2_1_NAMED_80_RENORMALIZED,88621753.0,75507541.84712493,0.009083571553674863,123577388.31420554
COD,Democratic Republic of the Congo,RECOVERED_V2_1_NAMED_80_RENORMALIZED,429293088.0,360927617.4447752,0.04341966058694888,637018160.3960853
COG,Congo,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,19957138.0,9898472.95895111,0.0011907881675818552,29549100.089584094
COK,Cook Islands,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,7918.0,3927.2218736461555,4.7244553356864744e-07,6885.959382018496
COL,Colombia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,47250735.0,44687419.3124069,0.005375904988340924,32499423.73628874
COM,Comoros,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1908335.0,946508.5822486153,0.00011386516131633302,2307644.3992649885
CPV,Cabo Verde,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,419053.0,207844.6713585555,2.5003753243059158e-05,254993.25513935796
CRI,Costa Rica,RECOVERED_V2_1_NAMED_80_RENORMALIZED,3795407.0,4035539.5672646957,0.000485476172580908,2286259.0453884904
CUB,Cuba,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,5607326.0,2781158.540018288,0.00033457389794940007,3243170.7249361672
CUW,Curaçao,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,120993.0,60010.90630943032,7.219323369925658e-06,76017.66664421622
CYM,Cayman Islands,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,118074.0,58563.121433303386,7.0451545757242335e-06,121003.97549331622
CYP,Cyprus,RECOVERED_V2_1_NAMED_80_RENORMALIZED,1277540.0,1323937.3343610764,0.00015926991152219995,1074253.6862027158
CZE,Czechia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,8239234.0,9772267.318210606,0.0011756056051503462,7357564.694024516
DEU,Germany,RECOVERED_V2_1_NAMED_80_RENORMALIZED,70917155.0,81999226.22024998,0.009864522410564657,69624322.54594104
DJI,Djibouti,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1841188.0,913204.5702317274,0.00010985868237688695,1955500.2041952533
DMA,Dominica,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,49300.0,24452.13922338412,2.941596969554726e-06,35379.306695911415
DNK,Denmark,RECOVERED_V2_1_NAMED_80_RENORMALIZED,5866817.0,6075883.606548117,0.000730929946092284,5487662.069369088
DOM,Dominican Republic,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,11706509.0,5806271.559590247,0.0006984955658917875,9106699.80005362
DZA,Algeria,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,64547402.0,32014646.251759488,0.003851367994235916,61536193.486959815
ECU,Ecuador,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,19147727.0,9497015.95162984,0.0011424928137334929,14483059.620629586
EGY,Egypt,RECOVERED_V2_1_NAMED_80_RENORMALIZED,201846600.0,168323017.04861468,0.020249290760744627,214572329.99742576
ERI,Eritrea,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,8433227.0,4182767.559967586,0.0005031877279263101,9858585.4892461
ESH,Western Sahara,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,831748.0,412535.8599345091,4.9628141911424025e-05,804747.7084235653
ESP,Spain,RECOVERED_V2_1_NAMED_80_RENORMALIZED,33216190.000000004,40828820.382865466,0.004911714807916485,26054858.999297857
EST,Estonia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,828296.0,1087979.1249904898,0.00013088409434337825,596756.7309756046
ETH,Ethiopia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,366401052.0,181730010.85392302,0.021862154649185873,486178778.0736617
FIN,Finland,RECOVERED_V2_1_NAMED_80_RENORMALIZED,4609493.0,5243893.170268581,0.0006308413393777471,3905431.864540134
FJI,Fiji,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,881621.0,437272.1994778728,5.2603928233180665e-05,696634.4850931003
FLK,Falkland Islands (Malvinas),WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,2254.0,1117.9537892395092,1.3449005211716738e-07,1812.2203772389223
FRA,France,RECOVERED_V2_1_NAMED_80_RENORMALIZED,68495709.0,69703855.43737714,0.008385386981797666,68809485.90489857
FRO,Faroe Islands,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,63329.0,31410.335190216898,3.778669259329234e-06,57693.737128638306
FSM,Micronesia (Fed. States of),WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,128310.0,63640.04023838573,7.65590886741515e-06,115349.90417428702
GAB,Gabon,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,6881647.0,3413204.6760686343,0.000410609167560758,9848910.797915954
GBR,United Kingdom,RECOVERED_V2_1_NAMED_80_RENORMALIZED,74373670.0,72094977.4950496,0.008673039417211507,69035865.76694691
GEO,Georgia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,2978067.0,1477081.3164414987,0.00017769316150772688,2300215.546232432
GGY,Guernsey,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,52991.0,26282.825752258577,3.161828904942687e-06,45405.97007367126
GHA,Ghana,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,67500042.0,33479116.11700356,0.004027543995781272,75209543.40629347
GIB,Gibraltar,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,49312.0,24458.091062546,2.9423129769306824e-06,45012.633414021024
GIN,Guinea,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,31996082.0,15869627.822856283,0.0019091192261424853,34213322.17760004
GLP,Guadeloupe,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,245112.0,121572.26672052998,1.4625166661287989e-05,189751.0796770047
GMB,Gambia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,5702713.0,2828469.213529463,0.00034026538091359713,5962310.067641933
GNB,Guinea-Bissau,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,4662404.0,2312489.892974909,0.0002781929711407674,5135108.829955057
GNQ,Equatorial Guinea,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,4992145.0,2476037.00939799,0.0002978677201537074,6502201.859454902
GRC,Greece,RECOVERED_V2_1_NAMED_80_RENORMALIZED,6296238.0,8133472.856269227,0.0009784583216783254,4621295.79125104
GRD,Grenada,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,74269.0,36836.42855946279,4.431429317076267e-06,43078.43527965577
GRL,Greenland,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,37351.0,18525.595377943617,2.2286326249460154e-06,27794.511006022825
GTM,Guatemala,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,25956843.0,12874246.22384429,0.0015487742537121255,22296433.134115074
GUF,French Guiana,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,772966.0,383380.77580004727,4.612077978030098e-05,1086751.9990602592
GUM,Guam,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,205627.0,101988.23594496565,1.2269204057984373e-05,197984.0902802473
GUY,Guyana,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,890788.0,441818.90861095116,5.3150898201130115e-05,744593.2607714408
HKG,"China, Hong Kong SAR",RECOVERED_V2_1_NAMED_80_RENORMALIZED,2106152.0,4057089.359147876,0.00048806861661694867,586019.0207522332
HND,Honduras,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,17039536.0,8451381.472086528,0.0010167027882397295,16492145.126445409
HRV,Croatia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,2150256.0,2860411.5445372695,0.00034410804937031934,1414044.0021836387
HTI,Haiti,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,15171738.0,7524978.698513334,0.0009052563595066587,13505227.338547396
HUN,Hungary,RECOVERED_V2_1_NAMED_80_RENORMALIZED,7468752.0,8871306.908266883,0.0010672198975700158,6754022.358261681
IDN,Indonesia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,296074174.0,282015639.70402354,0.03392653475189814,247581910.02211782
IMN,Isle of Man,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,58244.0,28888.243345370887,3.475261133767656e-06,42555.00181864053
IND,India,RECOVERED_V2_1_NAMED_80_RENORMALIZED,1509106631.0,1388480379.4332051,0.16703445204176484,1177218970.0790665
IRL,Ireland,RECOVERED_V2_1_NAMED_80_RENORMALIZED,5298149.0,5284841.418732488,0.0006357674214063823,4387959.902703248
IRN,Iran (Islamic Republic of),WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,80314491.0,39834911.066678114,0.004792147329349499,58456730.725493185
IRQ,Iraq,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,100563971.0,49878381.739317715,0.006000378749289844,114654765.50910608
ISL,Iceland,RECOVERED_V2_1_NAMED_80_RENORMALIZED,363492.0,379181.03798891086,4.561555052795201e-05,279788.9683426712
ISR,Israel,RECOVERED_V2_1_NAMED_80_RENORMALIZED,19699919.0,12852812.356093237,0.0015461957553710873,26070273.153542772
ITA,Italy,RECOVERED_V2_1_NAMED_80_RENORMALIZED,35496387.0,46986634.23067649,0.005652500977515928,25512470.039108027
JAM,Jamaica,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1076182.0,533771.8477423929,6.421285415597047e-05,423545.570183149
JEY,Jersey,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,99817.0,49507.894135102084,5.955809020487709e-06,98706.87526436357
JOR,Jordan,RECOVERED_V2_1_NAMED_80_RENORMALIZED,21306183.0,17498277.716916196,0.0021050461161812384,23539099.60220412
JPN,Japan,RECOVERED_V2_1_NAMED_80_RENORMALIZED,77038488.0,103379127.50889748,0.01243652857597699,60420239.722331785
KAZ,Kazakhstan,RECOVERED_V2_1_NAMED_80_RENORMALIZED,33637669.0,26357344.508208483,0.0031707935253660648,38990015.564156935
KEN,Kenya,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,104215393.0,51689438.1106631,0.006218249173017339,106475559.9183009
KGZ,Kyrgyzstan,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,11728850.0,5817352.396149876,0.0006998285926239746,12341424.362626655
KHM,Cambodia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,22769153.0,20283621.675217584,0.0024401235207410586,20643452.23057772
KIR,Kiribati,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,222652.0,110432.40775588076,1.3285039522622695e-05,228677.72397956022
KNA,Saint Kitts and Nevis,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,30353.0,15054.681173374813,1.811080990200702e-06,20244.65637394182
KOR,Republic of Korea,RECOVERED_V2_1_NAMED_80_RENORMALIZED,22006983.0,34641049.61478103,0.004167324815146871,10068889.897450691
KWT,Kuwait,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,9563750.0,4743491.815367949,0.0005706429618170185,14408496.75909343
LAO,Lao People's Democratic Republic,RECOVERED_V2_1_NAMED_80_RENORMALIZED,9279907.0,8049305.646466449,0.0009683329904330756,7383197.693262655
LBN,Lebanon,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,7204494.0,3573332.460893216,0.000429872570336211,6192465.998344994
LBR,Liberia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,12653423.0,6275928.2119344985,0.000754995349924829,14021089.622943165
LBY,Libya,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,9793152.0,4857272.132652387,0.0005843307554886167,9058039.06099412
LCA,Saint Lucia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,108726.0,53926.638726200035,6.4873848298541e-06,64936.08107515484
LIE,Liechtenstein,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,43600.0,21625.01562149184,2.601493465975376e-06,44265.285711856915
LKA,Sri Lanka,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,21308658.0,10568808.764289612,0.0012714296916445855,16244671.912446525
LSO,Lesotho,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,3262573.0,1618192.479157282,0.00019466886104971748,3025123.9657329936
LTU,Lithuania,RECOVERED_V2_1_NAMED_80_RENORMALIZED,1216525.0,1892011.779180192,0.00022760937458902788,630442.0242180554
LUX,Luxembourg,RECOVERED_V2_1_NAMED_80_RENORMALIZED,748879.0,705638.9365251645,8.488849741609522e-05,671054.6210076468
LVA,Latvia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,930123.0,1333764.3885322928,0.00016045210799612057,568807.3337287697
MAC,"China, Macao SAR",WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,333492.0,165407.56214776504,1.98985609852078e-05,154737.95130336788
MAF,Saint Martin (French part),WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,20010.0,9924.691802432379,1.1939422994075064e-06,22507.100495531715
MAR,Morocco,RECOVERED_V2_1_NAMED_80_RENORMALIZED,38000823.0,35220761.103959635,0.004237064216849322,28664623.265124373
MCO,Monaco,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,47337.0,23478.517533820166,2.8244700963045043e-06,64774.449620427935
MDA,Republic of Moldova,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1494588.0,741295.6157728039,8.917800266800932e-05,943727.6925873035
MDG,Madagascar,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,85155249.0,42235862.15314283,0.0050809821987845465,110957539.54685867
MDV,Maldives,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,475643.0,235912.5528727808,2.8380324693507472e-05,387268.2404793659
MEX,Mexico,RECOVERED_V2_1_NAMED_80_RENORMALIZED,130628673.0,121781356.43292457,0.014650320193202972,98626182.97546653
MHL,Marshall Islands,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,23854.0,11831.264280620788,1.4233033288389135e-06,20248.09122097776
MKD,North Macedonia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,868383.0,430706.3289091272,5.1814052762937956e-05,469888.01136668766
MLI,Mali,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,79202005.0,39283132.92152465,0.004725768314212135,101525901.6061083
MLT,Malta,RECOVERED_V2_1_NAMED_80_RENORMALIZED,361380.0,449623.56196078943,5.408979947404427e-05,226589.2418960349
MMR,Myanmar,RECOVERED_V2_1_NAMED_80_RENORMALIZED,49784469.0,46519985.88269079,0.005596363093065731,38803019.14631668
MNE,Montenegro,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,327878.0,162623.09339319958,1.956358886782281e-05,189214.15028660485
MNG,Mongolia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,5516678.0,2736198.346989458,0.0003291651782314245,6108386.780553386
MNP,Northern Mariana Islands,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,41667.0,20666.27352983258,2.486156611165046e-06,37836.09678325252
MOZ,Mozambique,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,104152501.0,51658244.52161571,0.006214496578359952,131872603.25496475
MRT,Mauritania,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,17065958.0,8464486.42994779,0.001018279317147023,24378901.94376911
MSR,Montserrat,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,2792.0,1384.7945783303949,1.665910494725516e-07,2165.9209589866855
MTQ,Martinique,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,210252.0,104282.17395527299,1.2545165234134285e-05,173554.30803598545
MUS,Mauritius,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,585848.0,290572.7557756824,3.495595743244822e-05,275715.2693978803
MWI,Malawi,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,59016045.0,29271167.31751526,0.0035213269599818527,74251036.67392103
MYS,Malaysia,RECOVERED_V2_1_NAMED_80_RENORMALIZED,44087388.0,38538978.39972814,0.004636246384609196,38707161.71487887
MYT,Mayotte,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1368908.0,678960.0202840632,8.16790187504913e-05,2351883.225348323
NAM,Namibia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,5895275.0,2923977.3845869335,0.00035175503194100885,6300273.382778249
NCL,New Caledonia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,337573.0,167431.68344940056,2.014206316031435e-05,309460.68959012587
NER,Niger,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,90649996.0,44961183.01807736,0.005408838813869128,115995931.96639583
NGA,Nigeria,RECOVERED_V2_1_NAMED_80_RENORMALIZED,476692581.0,320737747.4864204,0.0385848116358503,501712922.58997726
NIC,Nicaragua,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,8630243.0,4280484.855327307,0.0005149431370247644,7152448.725495184
NIU,Niue,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,2392.0,1186.3999396011118,1.427241369406674e-07,2660.7841768549024
NLD,Netherlands,RECOVERED_V2_1_NAMED_80_RENORMALIZED,17525084.0,18230924.850795865,0.002193183704843108,15721503.834492102
NOR,Norway,RECOVERED_V2_1_NAMED_80_RENORMALIZED,5419882.0,5622843.7188167265,0.0006764291619824169,4844458.397336015
NPL,Nepal,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,31927012.0,15835370.028613701,0.001904998007021042,24125094.71576895
NRU,Nauru,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,20645.0,10239.643291415116,1.2318310230518725e-06,22840.625090102963
NZL,New Zealand,RECOVERED_V2_1_NAMED_80_RENORMALIZED,5814526.0,5585681.357503688,0.0006719585228934905,5685668.038652259
OMN,Oman,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,12055049.0,5979142.728047008,0.0007192920001264447,17242438.78691634
PAK,Pakistan,RECOVERED_V2_1_NAMED_80_RENORMALIZED,510572265.0,439600942.1273963,0.05288407641400568,575280252.5624292
PAN,Panama,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,5910734.0,2931644.841387224,0.0003526774284430849,5460979.7159609925
PER,Peru,RECOVERED_V2_1_NAMED_80_RENORMALIZED,38246909.0,34690851.31825612,0.004173315969486483,31130152.02048557
PHL,Philippines,RECOVERED_V2_1_NAMED_80_RENORMALIZED,114596066.0,106324131.07086691,0.012790813061030654,82523346.65801588
PLW,Palau,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,11160.0,5535.210420546994,6.658868596395688e-07,8324.474219912978
PNG,Papua New Guinea,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,18636026.0,9243219.114048809,0.0011119610062097988,19861217.093497347
POL,Poland,RECOVERED_V2_1_NAMED_80_RENORMALIZED,19430415.0,26354678.968305975,0.0031704728604120577,11479983.460263373
PRI,Puerto Rico,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,1006866.0,499392.04079699545,6.007695688332025e-05,321865.2231734779
PRK,Dem. People's Republic of Korea,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,19576141.0,9709503.553521259,0.0011680551123970796,14051396.31487733
PRT,Portugal,RECOVERED_V2_1_NAMED_80_RENORMALIZED,8756138.0,10049317.9790437,0.0012089348520057865,8501923.801024957
PRY,Paraguay,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,9058714.0,4493000.7284547435,0.0005405088367233867,8298439.409822105
PSE,State of Palestine,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,11478655.0,5693259.029557693,0.0006849001371716876,12514417.814351577
PYF,French Polynesia,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,187920.0,93205.80127501712,1.121267550747919e-05,108786.53021848948
QAT,Qatar,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,7235935.0,3588926.775483934,0.00043174856932849844,12298884.042102432
REU,Réunion,WPP_2100_SHARE_OF_RECOVERED_V2_1_ROW_RESIDUAL,853792.0,423469.38847487984,5.094344746105616e-05,734360.1339141786
ROU,Romania,RECOVERED_V2_1_NAMED_80_RENORMALIZED,10810476.0,14406392.330836764,0.0017330917199293156,7425645.287723438
